spp,x,y
Astyanax fasciatus,-88.409423,17.536082
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-88.477388,16.511851
Astyanax fasciatus,-88.673791,18.130126
Astyanax fasciatus,-88.439084,18.043208
Astyanax fasciatus,-83.456453,8.957267
Astyanax fasciatus,-89.019008,16.925482
Astyanax fasciatus,-88.992613,16.22041
Astyanax fasciatus,-84.123618,9.453774
Astyanax fasciatus,-88.743374,16.44141
Astyanax fasciatus,-88.377654,16.815066
Astyanax fasciatus,-88.354141,17.425655
Astyanax fasciatus,-88.386276,17.570148
Astyanax fasciatus,-88.69763,17.6018
Astyanax fasciatus,-88.392584,17.458168
Astyanax fasciatus,-89.045365,16.200243
Astyanax fasciatus,-88.320261,17.164873
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-88.799187,16.109734
Astyanax fasciatus,-88.418794,18.217184
Astyanax fasciatus,-88.605156,18.240145
Astyanax bimaculatus,-66.242702,7.898771
Astyanax fasciatus,-89.045622,16.200325
Astyanax fasciatus,-88.488778,17.018503
Astyanax fasciatus,-88.465336,17.684747
Astyanax fasciatus,-89.015016,16.148693
Astyanax fasciatus,-88.313616,17.470664
Astyanax fasciatus,-89.09791,15.985067
Astyanax fasciatus,-88.32128,16.991285
Astyanax fasciatus,-88.947715,16.27003
Astyanax fasciatus,-88.956007,17.203717
Astyanax fasciatus,-88.313702,17.880881
Astyanax fasciatus,-88.530071,17.790696
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-88.354141,17.425655
Astyanax fasciatus,-88.392724,17.458127
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-88.405735,17.548854
Astyanax bimaculatus,-74.8833,-5
Astyanax fasciatus,-99.137566,23.727957
Astyanax bimaculatus,-75.273386,-9.49523
Astyanax fasciatus,-76.662999,5.692245
Astyanax bimaculatus,-43.201706,-22.117602
Astyanax fasciatus,-75.227918,-8.781367
Astyanax fasciatus,-77.2083,-0.1
Astyanax bimaculatus,-57.904923,2.398661
Astyanax bimaculatus,-78.6736,-3.9542
Astyanax fasciatus,-79.423868,9.019881
Astyanax fasciatus,-79.423868,9.019881
Astyanax fasciatus,-85.08842,10.421643
Astyanax fasciatus,-46.210308,-23.516884
Astyanax fasciatus,-75.509662,5.130167
Astyanax bimaculatus,-58.025413,6.788714
Astyanax fasciatus,-63.469382,-31.236657
Astyanax fasciatus,-76.3844,-3.2231
Astyanax bimaculatus,-58.020916,6.531964
Astyanax bimaculatus,-77.0928,-2.3283
Astyanax fasciatus,-89.030114,16.964672
Astyanax fasciatus,-77.905,-1.0583
Astyanax fasciatus,-77.905,-1.0583
Astyanax fasciatus,-74.734293,5.205812
Astyanax fasciatus,-88.621731,17.537425
Astyanax fasciatus,-76.662999,5.692245
Astyanax bimaculatus,-44.954791,-17.336154
Astyanax bimaculatus,-45.973352,-23.309251
Astyanax fasciatus,-74.771956,8.094189
Astyanax bimaculatus,-58.025413,6.788714
Astyanax fasciatus,-77.64077,8.033727
Astyanax fasciatus,-75.085924,10.347012
Astyanax fasciatus,-75.967502,4.767196
Astyanax fasciatus,-88.82967,15.357035
Astyanax bimaculatus,-49.950601,-21.22858
Astyanax bimaculatus,-58.12704,6.807564
Astyanax bimaculatus,-58.12704,6.807564
Astyanax fasciatus,-77.586294,8.037252
Astyanax bimaculatus,-56.586062,-16.399545
Astyanax bimaculatus,-62.246717,5.236797
Astyanax bimaculatus,-44.240045,-21.121431
Astyanax bimaculatus,-70.709629,-13.398414
